电影名,链接地址,图片,评分,简介
叶问2：宗师传奇,http://www.1905.com/vod/play/349713.shtml,http://image11.m1905.cn/uploadfile/2012/1129/thumb_1_150_203_20121129071936389.jpg,6.0,黄晓明苦学甄功夫
力王,http://www.1905.com/vod/play/85588.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112932417.jpg,5.9,樊少皇激情秀胸肌
脱皮爸爸,http://www.1905.com/vod/play/1310641.shtml,http://image11.m1905.cn/uploadfile/2018/0607/thumb_1_150_203_20180607090416212986.jpg,7.0,吴镇宇费曼父子档
红海行动,http://www.1905.com/vod/play/1362986.shtml,http://image11.m1905.cn/uploadfile/2018/0504/thumb_1_150_203_20180504074816653722.jpg,8.9,蛟龙出海扬我国威
狼牙,http://www.1905.com/vod/play/85946.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106111848318.jpg,6.0,警匪缠斗勇救美女
半夜鸡叫,http://www.1905.com/vod/play/1369140.shtml,http://image11.m1905.cn/uploadfile/2019/0422/thumb_1_150_203_20190422115642780247.jpg,6.7,真人版的半夜鸡叫
越光宝盒,http://www.1905.com/vod/play/345129.shtml,http://image11.m1905.cn/uploadfile/s2010/0107/thumb_1_150_203_20100107113740792.jpg,5.9,众星上阵恶搞大片
举起手来,http://www.1905.com/vod/play/85676.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112357202.jpg,7.3,潘长江爆笑歼鬼子
我们俩,http://www.1905.com/vod/play/85406.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112705203.jpg,5.9,艺术家金雅琴去世

惊天动地,http://www.1905.com/vod/play/404212.shtml,http://image11.m1905.cn/uploadfile/2013/0719/thumb_1_150_203_20130719043135620.jpg,7.9,真实再现汶川地震
大决战之辽沈战役,http://www.1905.com/vod/play/475759.shtml,http://image11.m1905.cn/uploadfile/2008/1007/thumb_1_150_203_29155952287.jpg,6.7,辽沈战役经典还原
恐怖理发店,http://www.1905.com/vod/play/1202714.shtml,http://image11.m1905.cn/uploadfile/2017/0522/thumb_1_150_203_20170522023306752418.jpg,7.6,深山理发店惊魂记
我和姐姐,http://www.1905.com/vod/play/85340.shtml,http://image11.m1905.cn/uploadfile/2019/0306/thumb_1_150_203_20190306091721473398.jpg,5.9,激情青春萌动烦恼
闪闪的红星,http://www.1905.com/vod/play/86069.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106113306729.jpg,6.0,经典演绎战争史诗
大决战之淮海战役,http://www.1905.com/vod/play/475764.shtml,http://image11.m1905.cn/uploadfile/2018/0521/thumb_1_150_203_20180521025943190699.jpg,5.9,真实再现战争残酷
战狼,http://www.1905.com/vod/play/910608.shtml,http://image11.m1905.cn/uploadfile/2015/0713/thumb_1_150_203_20150713025012924265.jpg,7.2,犯我中华虽远必诛
自古英雄出少年,http://www.1905.com/vod/play/85360.shtml,http://image11.m1905.cn/uploadfile/2018/0521/thumb_1_150_203_20180521041520267601.jpg,5.9,少年面临生死逃亡
夜盗珍妃墓,http://www.1905.com/vod/play/357980.shtml,http://image11.m1905.cn/uploadfile/2018/0521/thumb_1_150_203_20180521030315970057.jpg,5.9,珍妃墓财宝引人盗
人再囧途之泰囧,http://www.1905.com/vod/play/632382.shtml,http://image11.m1905.cn/uploadfile/2013/0326/thumb_1_150_203_20130326113824838.jpg,9.0,王宝强徐峥喜剧档
午夜心跳,http://www.1905.com/vod/play/416566.shtml,http://image11.m1905.cn/uploadfile/2011/0121/thumb_1_150_203_20110121102439515.jpg,7.0,医院上演惊魂一刻
最爱,http://www.1905.com/vod/play/441891.shtml,http://image11.m1905.cn/uploadfile/2011/0421/thumb_1_150_203_20110421040905983.jpg,6.7,章子怡饰风流村姑
大上海1937,http://www.1905.com/vod/play/85524.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112840536.jpg,5.9,宗师张彻精彩影片
龙在少林,http://www.1905.com/vod/play/85372.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112638989.jpg,5.9,释小龙搭档郝邵文
杨贵妃,http://www.1905.com/vod/play/516604.shtml,http://image11.m1905.cn/uploadfile/2019/0401/thumb_1_150_203_20190401021843670441.jpg,7.8,大唐盛世一代宠妃
电影名,链接地址,图片,评分,简介
地狱究竟有几层,http://www.1905.com/vod/play/85735.shtml,http://image11.m1905.cn/uploadfile/2009/0310/thumb_1_150_203_144434717.jpg,5.9,沉痛回顾历史教训
西游记之大闹天宫,http://www.1905.com/vod/play/757920.shtml,http://image11.m1905.cn/uploadfile/2014/0520/thumb_1_150_203_20140520064841938157.jpg,5.9,甄子丹变身孙悟空
人在囧途,http://www.1905.com/vod/play/355722.shtml,http://image11.m1905.cn/uploadfile/2013/0719/thumb_1_150_203_20130719092055343.jpg,5.9,徐峥宝宝经典旅途
英雄豪杰之苏乞儿,http://www.1905.com/vod/play/85900.shtml,http://image11.m1905.cn/uploadfile/2012/1203/thumb_1_150_203_20121203094714735.jpg,5.9,甄子丹版乞儿苏灿
大话西游之大圣娶亲,http://www.1905.com/vod/play/85526.shtml,http://image11.m1905.cn/uploadfile/2012/1203/thumb_1_150_203_20121203101215170.jpg,9.2,星爷朱茵再续前缘
万箭穿心,http://www.1905.com/vod/play/613505.shtml,http://image11.m1905.cn/uploadfile/2013/0128/thumb_1_150_203_20130128043414585.jpg,5.9,崔健力荐文艺强片
斗牛,http://www.1905.com/vod/play/355720.shtml,http://image11.m1905.cn/uploadfile/2013/0718/thumb_1_150_203_20130718053704119.jpg,9.0,黄渤一人大战奶牛
神话,http://www.1905.com/vod/play/85426.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112721320.jpg,6.0,成龙金喜善跨世恋
蛇咒,http://www.1905.com/vod/play/1241269.shtml,http://image11.m1905.cn/uploadfile/2017/1219/thumb_1_150_203_20171219030934835376.jpg,6.2,美女变异恐怖蛇人
半夜叫你别回头,http://www.1905.com/vod/play/969019.shtml,http://image11.m1905.cn/uploadfile/2016/0114/thumb_1_150_203_20160114051200631471.jpg,3.4,新婚夫妻各怀鬼胎
《让子弹飞》川话版,http://www.1905.com/vod/play/419592.shtml,http://image11.m1905.cn/uploadfile/2011/0209/thumb_1_150_203_20110209111954484.jpg,5.9,三影帝爆笑飚方言
露水红颜,http://www.1905.com/vod/play/848532.shtml,http://image11.m1905.cn/uploadfile/2015/0119/thumb_1_150_203_20150119030601267002.jpg,7.7,刘亦菲痴情做模特
我的战场,http://www.1905.com/vod/play/654024.shtml,http://image11.m1905.cn/uploadfile/2013/0523/thumb_1_150_203_20130523024629252.jpg,7.5,吴京纪录片处女作
夜闯寡妇村,http://www.1905.com/vod/play/1208679.shtml,http://image11.m1905.cn/uploadfile/2017/0612/thumb_1_150_203_20170612023530126302.jpg,5.9,小鲜肉深陷寡妇村
绣春刀,http://www.1905.com/vod/play/816160.shtml,http://image11.m1905.cn/uploadfile/2014/1030/thumb_1_150_203_20141030051039918591.jpg,8.1,帅气张震侠骨柔情
保密局的枪声,http://www.1905.com/vod/play/85358.shtml,http://image11.m1905.cn/uploadfile/2012/1203/thumb_1_150_203_20121203044326282.jpg,5.9,敌人内部尖锐斗争
勇士,http://www.1905.com/vod/play/1254802.shtml,http://image11.m1905.cn/uploadfile/2017/0123/thumb_1_150_203_20170123092753306281.jpg,6.1,红军长征英雄史实
制服,http://www.1905.com/vod/play/749598.shtml,http://image11.m1905.cn/uploadfile/2018/0302/thumb_1_150_203_20180302064227823652.jpg,5.9,徐若瑄遭凶残报复
开国大典,http://www.1905.com/vod/play/678092.shtml,http://image11.m1905.cn/uploadfile/2018/0515/thumb_1_150_203_20180515101203215436.jpg,5.9,古月倾力演毛泽东
我们是冠军,http://www.1905.com/vod/play/719994.shtml,http://image11.m1905.cn/uploadfile/2014/0106/thumb_1_150_203_20140106052117223039.jpg,5.9,乒乓健儿奋力拼搏
