ai人工智能兼职讲师,北京自兴信息咨询有限公司,30K-60K,本科
课程/招生顾问（人工智能/大数据/区块链）,上海沁华广告策划有限公司,10K-15K,大专
课程咨询师（区块链/人工智能/数据分析）,上海沁华广告策划有限公司,10K-15K,大专
3、人工智能工程师,上海飒智智能科技有限公司,10K-20K,本科
行业好 资源优  AI人工智能课程销售,上海沁华广告策划有限公司,10K-15K,中专
课程顾问（人工智能）网销氛围好加班少,上海沁华广告策划有限公司,10K-15K,中专
AI人工智能课程销售代表,上海沁华广告策划有限公司,8K-10K,中专
人工智能算法专家,优刻得科技股份有限公司,20K-40K,本科
算法测试工程师（智能驾驶方向）,上海同辂智能科技有限公司,8K-12K,本科
软件开发工程师（人工智能、视频识别、激光雷达、SLAM技术方向）,卡斯柯信号,薪资面议,硕士
空间运营经理,上海摩尼人工智能科技有限公司,10K-15K,本科
AI人工智能系统设计工程师(AI Logical Designer),金谕颐物联网科技(上海)有限公司,6K-10K,本科
人工智能算法工程师,上海电器科学研究所,薪资面议,硕士
业务副总裁（物联网+人工智能产品）,昆山英莱特电子科技有限公司,100K-150K,硕士
人工智能专家,陕西众信超达科技有限公司,20K-40K,博士
人工智能算法工程师,上海复瞰科技有限公司,20K-40K,硕士
车联网推广销售总监（物联网+人工智能）,昆山英莱特电子科技有限公司,100K-150K,本科
资深电子硬件研发人员（物联网+人工智能产品）,昆山英莱特电子科技有限公司,100K-150K,本科
资深电子软件研发工程师（物联网+人工智能）,昆山英莱特电子科技有限公司,100K-150K,本科
研发副总载（物联网+人工智能）,昆山英莱特电子科技有限公司,100K-150K,硕士
机器视觉人工智能AI软件设计工程师,中邮科技有限责任公司上海分公司,20K-30K,硕士
政府机构商务拓展总监（物联网+人工智能）,昆山英莱特电子科技有限公司,100K-150K,硕士
智慧城市推广销售总监（物联网+人工智能）,昆山英莱特电子科技有限公司,100K-150K,本科
智慧城市产品研发总监（物联网+人工智能）,昆山英莱特电子科技有限公司,100K-150K,硕士
智能技术加速器主管,启迪漕河泾(上海)开发有限公司,7K-9K,本科
智能交通销售经理,北京文通科技有限公司,15K-20K,大专
物联网+人工智能云平台研发总监,昆山英莱特电子科技有限公司,100K-150K,硕士
智能传感器/芯片研发总监（物联网+人工智能）,昆山英莱特电子科技有限公司,100K-150K,硕士
人工智能产业咨询顾问,上海元雀信息科技有限公司,20K-30K,硕士
人工智能高级工程师,上海启茂信息科技有限公司,15K-20K,硕士
销售经理 （语言智能产品）,上海佑译信息科技有限公司,10K-15K,大专
人工智能组量化岗位,昧来网络科技(上海)有限公司,8K-10K,本科
人工智能工程师,上海驭矩信息科技有限公司,20K-30K,本科
［实习］标注专员－大型语音人工智能项目,上海全深商务服务有限公司,2.4K-4K,大专
招商经理,双屹(上海)人工智能科技有限公司,8K-10K,学历不限
销售代表,双屹(上海)人工智能科技有限公司,8K-10K,学历不限
招商助理,双屹(上海)人工智能科技有限公司,6K-8K,学历不限
招商专员,双屹(上海)人工智能科技有限公司,5K-10K,学历不限
NLP自然语言处理工程师,圆通速递有限公司,15K-25K,硕士
软件工程师-智能手术机器人项目,上海逸动医学科技有限公司,12K-16K,本科
咨询研究员,佐智（上海）医疗科技有限公司,8K-10K,硕士
Alot智能硬件销售专员/月入过万,三体云智能科技有限公司,12K-24K,大专
助理楼宇自控与智能化技术工程师,上海安锐盟企业服务有限公司,5K-10K,本科
深度学习算法工程师,圆通速递有限公司,15K-25K,硕士
应用工程师-智能手术机器人项目,上海逸动医学科技有限公司,10K-15K,本科
客户服务中心-智能服务规划岗,太平金融科技服务(上海)有限公司,8K-12K,本科
产品经理（智能客服方向）,易谷网络科技股份有限公司,15K-25K,大专
楼宇自控与智能化技术工程师,上海安锐盟企业服务有限公司,10K-20K,本科
人工智能与机器学习工程师（上海）,顺丰速运,薪资面议,硕士
人工智能编程讲师-上海,童程童美,薪资面议,本科
大数据架构师,上海大唐移动通信设备有限公司,20K-28K,本科
智能科技销售经理（北京/上海）,深圳市鼎峰达管理咨询有限公司,25K-37.5K,本科
软件开发工程师,中国科学院上海高等研究院,8K-10K,本科
web前端开发,北京汉克时代科技有限公司上海分公司,14K-16K,本科
★急招销售/高提成/年均20W（客户经理/政府项目申报/咨询顾问）,上海高集商务咨询有限公司,15K-20K,本科
智能物联网销售/AI智能硬件销售,三体云智能科技有限公司,15K-20K,大专
助理楼宇自控与智能化工程师,上海安锐盟企业服务有限公司,5K-10K,本科
业务拓展经理,上海闳照文化传媒有限公司,8K-15K,大专
销售代表,上海潍正信息技术有限公司,6K-8K,大专
猎头顾问,上海贯博企业管理咨询有限公司,10K-15K,本科
阿里云智能事业群-云业务经理（泛互联网）-上海,阿里巴巴集团,薪资面议,本科
应用工程师,上海易教信息科技有限公司,10K-15K,本科
物流专员,江苏满运软件科技有限公司,8K-10K,大专
AI解决方案高级咨询经理(J10849),北京明略软件系统有限公司,20K-30K,本科
AI解决方案项目经理(J10850),北京明略软件系统有限公司,15K-20K,本科
课程顾问 电话销售,上海傲梦网络科技有限公司,9K-16K,本科
AI算法工程师,上海挚飞信息科技有限公司,20K-30K,本科
软件开发工程师（浙江某工业设备智能维护的科技公司）,杭州宇宙企业管理有限公司,15K-20K,本科
金融电话销售 无责底薪4800+双休+提成,敬悦商务（上海总部）,10K-15K,大专
高级招商主管/专员,普道(上海)信息科技有限公司,10K-20K,本科
高级行业咨询师（售前高级顾问）,思凯迈(福州)科技有限公司,15K-20K,硕士
软件测试工程师（之江智能）,上海之江生物科技股份有限公司,5K-10K,本科
前端开发工程师 ,上海焕一生物科技有限公司,10K-20K,本科
Wen前端开发工程师（工作地点：南京）,图灵人工智能研究院(南京)有限公司,20K-30K,本科
上市金融-客户专员 月薪1.5万+5险1金,上海上巢实业有限公司,10K-15K,大专
高薪招商主管,普道(上海)信息科技有限公司,15K-20K,本科
激光雷达测试主管工程师,上海机动车检测认证技术研究中心有限公司,15K-20K,学历不限
机器视觉产品经理,上海倍吉电子科技有限公司,10K-15K,本科
品牌/产品市场营销总监,上海梅歌文化传播有限公司,15K-20K,本科
专利代理人/工程师（上海）,隆天国际知识产权代理有限公司,10K-20K,硕士
市场营销总监,上海梅歌文化传播有限公司,15K-20K,本科
全栈工程师,上海塔莫信息科技有限公司,15K-25K,本科
区域销售经理,合肥图鸭信息科技有限公司,10K-15K,本科
技术支持工程师（智能大厦/弱电安防）,上海悠络客电子科技股份有限公司,6K-8K,大专
推荐算法工程师,阿基米德(上海)传媒有限公司,30K-50K,硕士
激光雷达测试工程师,上海机动车检测认证技术研究中心有限公司,10K-15K,本科
会计,深思考人工智能机器人科技(北京)有限公司,5K-7K,本科
采购经理(产品开发）,上海梅歌文化传播有限公司,8K-10K,大专
前端静态工程师,同业云(上海)人工智能科技有限公司,8K-10K,本科
高级采购经理,上海梅歌文化传播有限公司,8K-10K,本科
礼品渠道大客户总监,上海梅歌文化传播有限公司,15K-20K,本科
React开发工程师（兼职）,同业云(上海)人工智能科技有限公司,10K-20K,本科
天猫淘宝网络运营推广店长,上海九牛网络科技有限公司,5K-10K,本科
国际业务部韩语翻译（笔译）,携程计算机技术(上海)有限公司,8K-10K,本科
运动算法工程师,上海铼锶信息技术有限公司,18K-25K,本科
量化策略经理,上海汇银（集团）有限公司,20K-35K,本科
销售代表/课程顾问/薪资过万,上海傲梦网络科技有限公司,8K-15K,大专
皮肤科医生,浙江自贸区拜占庭人工智能科技有限公司,20K-30K,学历不限
行政助理,上海深至信息科技有限公司,12K-13K,本科
算法交易研究员,上海远澜信息技术有限公司,15K-30K,本科
医美运营总监,浙江自贸区拜占庭人工智能科技有限公司,30K-50K,本科
期货专员  底薪6K 月薪平均1.2万+,敬悦商务（上海总部）,10K-15K,大专
Python开发工程师,上海内威职业技能培训学校,6K-8K,大专
ZN-007-资深Unity开发工程师,上海金堂置业有限公司,20K-30K,本科
标准化工程师（主管）,中联重科股份有限公司,20K-40K,本科
搜索与NLP部-产品运营,北京三快在线科技有限公司,薪资面议,本科
底薪5千+补贴1千+提成（期货专员）,上海石擎商务咨询有限公司,10K-15K,大专
算法工程师（工业能源领域）,中移(上海)信息通信科技有限公司,薪资面议,本科
软件售后支持工程师,北京捷通华声科技股份有限公司,10K-20K,本科
（总部）Java工程师,上海源耀生物股份有限公司,8K-15K,本科
会议销售经理,Datacenter Dynamics,9.9K-15K,本科
C++开发工程师,北京构力科技有限公司,9K-15K,本科
首席技术总监,上海冠萌达商务信息咨询有限公司,25K-50K,本科
程序化策略研究员,上海火线资产管理有限公司,20K-30K,本科
ZN-013-网站/APP产品经理,上海金堂置业有限公司,15K-25K,本科
猎头实习生,上海昂拓企业管理有限公司,3K-4K,本科
IT项目经理,上海淘利资产管理有限公司,15K-30K,本科
前端开发工程师,中国航发商用航空发动机有限责任公司,薪资面议,本科
高级java开发工程师,上海源耀生物股份有限公司,15K-25K,大专
高级web前端开发,同业云(上海)人工智能科技有限公司,16K-23K,大专
售前支持总监（售前咨询）,北京捷通华声科技股份有限公司,25K-50K,本科
语音识别算法工程师,碧桂园控股,薪资面议,本科
高薪诚聘课程顾问,上海高顿企业管理咨询有限公司,12K-18K,大专
