id,num,name,url,area,village,price,type,square,line,station,meter,addtime
1,1206977,文翔名苑-松江 新上架 朝南,http://sh.baletu.com/house/1206977.html?entrance=1&zhaofang_index_entrance=14&is_rec_house=0&position=1,松江,文翔名苑 ,1900,合租,30,-1,三新北路文宇路,296,2019-08-19
2,5196503,宝业馨康苑-宝山 近地铁 新上架 电梯房 非一楼,http://sh.baletu.com/house/5196503.html?entrance=1&zhaofang_index_entrance=14&is_rec_house=0&position=2,宝山,宝业馨康苑 ,2100,合租,18,1,共康路,639,2019-08-19
3,445979,鑫鑫花园-宝山 新上架 电梯房 非一楼,http://sh.baletu.com/house/445979.html?entrance=1&zhaofang_index_entrance=14&is_rec_house=0&position=3,宝山,鑫鑫花园 ,1790,合租,17,1,呼兰路,1198,2019-08-19
4,5692358,振新佳苑-青浦 保洁服务 新上架 主卧,http://sh.baletu.com/house/5692358.html?entrance=1&zhaofang_index_entrance=14&is_rec_house=0&position=4,青浦,振新佳苑 ,1800,合租,24,-1,徐盈路菘泽大道,98,2019-08-19
5,1814754,美罗家园保翔苑-宝山 新上架 电梯房 非一楼 主卧,http://sh.baletu.com/house/1814754.html?entrance=1&zhaofang_index_entrance=14&is_rec_house=0&position=5,宝山,美罗家园保翔苑 ,1200,合租,22,7,美兰湖,938,2019-08-19
6,1487261,徐泾北城欣沁苑东区-青浦 新上架 电梯房 非一楼 朝南,http://sh.baletu.com/house/1487261.html?entrance=1&zhaofang_index_entrance=14&is_rec_house=0&position=6,青浦,徐泾北城欣沁苑东区 ,1500,合租,18,-1,尚鸿路乐天路,273,2019-08-19
7,2238166,龙悦小区二区-松江 保洁服务 维修服务 新上架 电梯房 非一楼,http://sh.baletu.com/house/2238166.html?entrance=1&zhaofang_index_entrance=14&is_rec_house=0&position=7,松江,龙悦小区二区 ,1500,合租,15,9,九亭,1562,2019-08-19
8,4026476,河畔家苑-青浦 独卫 带阳台 新上架 主卧,http://sh.baletu.com/house/4026476.html?entrance=1&zhaofang_index_entrance=14&is_rec_house=0&position=8,青浦,河畔家苑 ,2000,合租,25,17,徐泾北城,625,2019-08-19
9,5463391,蟠龙馨苑-青浦 近地铁 独卫 保洁服务 维修服务 新上架 电梯房,http://sh.baletu.com/house/5463391.html?entrance=1&zhaofang_index_entrance=14&is_rec_house=0&position=9,青浦,蟠龙馨苑 ,2100,合租,15,17,徐盈路,952,2019-08-19
10,2411729,天馨花园-宝山 近地铁 新上架 非一楼,http://sh.baletu.com/house/2411729.html?entrance=1&zhaofang_index_entrance=14&is_rec_house=0&position=10,宝山,天馨花园 ,1650,合租,20,1,宝安公路,784,2019-08-19
11,955063,中祥哥德堡-闵行 近地铁 新上架 电梯房 非一楼,http://sh.baletu.com/house/955063.html?entrance=1&zhaofang_index_entrance=14&is_rec_house=0&position=11,闵行,中祥哥德堡 ,1800,合租,20,5,春申路,559,2019-08-19
12,1535486,九里亭花苑-松江 近地铁 独卫 新上架 非一楼 主卧 朝南,http://sh.baletu.com/house/1535486.html?entrance=1&zhaofang_index_entrance=14&is_rec_house=0&position=12,松江,九里亭花苑 ,2200,合租,30,9,九亭,619,2019-08-19
