Python,20-35K,上海 浦东新区 张江,3-5年,本科
Python web(上海),10-15K,上海 徐汇区 漕河泾,3-5年,本科
python语言工程师,12-18K,上海 普陀区 长寿路,3-5年,大专
Python工程师,9-15K,上海 虹口区 北外滩,1-3年,本科
python编程老师,6-11K,上海 长宁区 北新泾,经验不限,本科
Python讲师,5-10K,上海  ,经验不限,本科
Python开发工程师,12-24K·14薪,上海 黄浦区 外滩,3-5年,本科
Python,20-40K,上海 浦东新区 张江,5-10年,本科
Python工程师,20-30K,上海 杨浦区 周家嘴路,5-10年,本科
python开发,8-13K,上海 浦东新区 金桥,应届生,本科
Python开发工程师,10-15K,上海 浦东新区 张江,3-5年,本科
python,15-25K·13薪,上海  ,3-5年,本科
测试开发 python,15-25K,上海 普陀区 长风,经验不限,本科
Python工程师,6-11K,上海 松江区 九亭,经验不限,学历不限
Python开发工程师,15-30K,上海 浦东新区 陆家嘴,3-5年,本科
Python讲师,25-40K,上海 浦东新区 航头,5-10年,大专
资深Python工程师,18-35K,上海 杨浦区 周家嘴路,5-10年,本科
Python程序员,5-10K,上海 浦东新区 新场,经验不限,学历不限
python后端实习生,130-200/天,上海 静安区 汶水路,本科,本科
Python课程研发,8-12K,上海  ,1-3年,本科
Python,11-12K·13薪,上海 徐汇区 田林,1-3年,本科
python,11-15K,上海 徐汇区 漕河泾,3-5年,本科
Python工程师,12-24K,上海 闵行区 浦江,3-5年,本科
Python教学讲师,8-13K,上海 徐汇区 衡山路,经验不限,本科
vEPC Developer（Java/python）,12-23K,上海 长宁区 北新泾,3-5年,本科
Python工程师,15-30K,上海 浦东新区 世纪公园,1-3年,硕士
Python编程教学,5-10K,上海 浦东新区 联洋,经验不限,本科
python开发工程师,12-24K,上海 徐汇区 漕河泾,1-3年,大专
Python开发工程师,11-20K,上海 静安区 江宁路,1-3年,本科
Python（上海360）,9-14K,上海 徐汇区 漕河泾,3-5年,本科
