id,jid,jobname,salary,workExp,eduLevel,cname,ctype,csize,jobtype,cityname
1,CC133675644J00407323505,15-20K：高级程序员/软件开发/.net/C#（港资公司）,15K-20K,3-5年,本科,上海中原物业顾问有限公司,外商独资,10000人以上,软件/互联网开发/系统集成,上海
2,CC822216530J00301929106,机器人轨迹规划算法工程师,20K-30K,3-5年,硕士,佳奕筱安(上海)机器人科技有限公司,民营,20人以下,软件/互联网开发/系统集成,上海
3,CC156501624J00422274001,软件研发工程师,13K-18K,3-5年,本科,上海唐盛信息科技有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
4,CC000584094J00315376302,数据分析及开发工程师（Python）,10K-16K,1-3年,本科,上海喜士多便利连锁有限公司,民营,1000-9999人,软件/互联网开发/系统集成,上海
5,CC399612635J90356609000,Python工程师,6K-8K,不限,大专,上海集钢电子商务有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
6,CC000636993J00233315504,高级python开发工程师,25K-40K,5-10年,本科,上海有孚网络股份有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
7,CC839265400J00260949205,python开发工程师,8K-10K,1-3年,大专,上海蜗兴科技有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
8,CC175981210J00263628102,python全栈开发工程师,10K-15K,3-5年,大专,上海欧锐信息咨询有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
9,CC120226357J00166258804,python开发工程师,8K-15K,不限,本科,上海天存信息技术有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
10,CC827304260J00372537203,python工程师,15K-20K,3-5年,本科,上海塑盈供应链管理有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
11,CC558116225J00403873807,数据分析及开发工程师（Python）,10K-20K,不限,大专,上海昕跃管理咨询有限公司,股份制企业,20-99人,软件/互联网开发/系统集成,上海
12,CZ729442480J00305178301,Python/C++/C# 软件开发工程师,8K-10K,不限,本科,上海金柳投资管理有限公司,民营,20人以下,软件/互联网开发/系统集成,上海
13,CC447810313J00307317608,python开发工程师,6K-8K,1-3年,本科,上海力信测量系统有限公司,民营,20人以下,软件/互联网开发/系统集成,上海
14,CC840266840J00383477205,python开发工程师,10K-15K,1-3年,大专,上海金蝙金蝠娱乐咨询管理有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
15,CC120120187J00179069413,高级Python工程师(000642),15K-30K,5-10年,本科,紫光股份有限公司,国企,1000-9999人,软件/互联网开发/系统集成,上海
16,CZ274745230J00247363704,高级Python工程师,10K-16K,1-3年,大专,趣送信息技术(上海)有限公司,合资,100-499人,软件/互联网开发/系统集成,上海
17,CC120120187J00179065513,Python架构师(000641),30K-40K,5-10年,本科,紫光股份有限公司,国企,1000-9999人,软件/互联网开发/系统集成,上海
18,CC661565224J00325592903,Python开发工程师,10K-15K,3-5年,本科,上海潇如文化传播有限公司,民营,20-99人,软件/互联网开发/系统集成,上海
19,CC421893312J00274721704,Python工程师,13K-17K,3-5年,本科,上海榕智市场营销策划股份有限公司,股份制企业,100-499人,软件/互联网开发/系统集成,上海
20,CC152251416J00288775606,Python开发工程师（证券）,薪资面议,1-3年,本科,东方财富信息股份有限公司,上市公司,1000-9999人,软件/互联网开发/系统集成,上海
21,CC507517230J00309048404,爬虫开发工程师（Python）,8K-16K,3-5年,本科,苏州万恒达新资产管理有限公司,不限,20人以下,软件/互联网开发/系统集成,上海
22,CC151054919J00310625304,python开发工程师,13K-25K,3-5年,本科,上海百事通信息技术股份有限公司,股份制企业,1000-9999人,软件/互联网开发/系统集成,上海
23,CC469912010J00235437402,python开发,12K-18K,3-5年,本科,深圳市网新新思软件有限公司,上市公司,1000-9999人,软件/互联网开发/系统集成,上海
24,CC217000521J90272877000,IT培训讲师（Python）,6K-12K,不限,本科,中公教育上海分公司,民营,100-499人,教育/培训,上海
25,CC230292410J00153653713,自动化测试(Python/shell),11K-15K,1-3年,本科,瞬联讯通科技(北京)有限公司,外商独资,1000-9999人,软件/互联网开发/系统集成,上海
26,CC230292410J00055615013,Python开发工程师,10K-18K,3-5年,本科,瞬联讯通科技(北京)有限公司,外商独资,1000-9999人,软件/互联网开发/系统集成,上海
27,CC508620126J00319474905,急：高级python开发工程师,薪资面议,5-10年,本科,中软国际科技服务有限公司深圳分公司,上市公司,10000人以上,软件/互联网开发/系统集成,上海
28,CC508620126J00296851305,急：Python开发工程师,薪资面议,3-5年,本科,中软国际科技服务有限公司深圳分公司,上市公司,10000人以上,软件/互联网开发/系统集成,上海
29,CC364485728J00402260105,Python开发,15K-20K,3-5年,大专,武汉佰钧成技术有限责任公司,民营,1000-9999人,软件/互联网开发/系统集成,上海
30,CC663299424J00321138307,Python web 开发工程师,10K-15K,3-5年,本科,东软云科技有限公司,合资,1000-9999人,软件/互联网开发/系统集成,上海
31,CC191763027J00292821407,pdk开发工程师python,6K-12K,1-3年,本科,中国科学院上海微系统与信息技术研究所,事业单位,500-999人,软件/互联网开发/系统集成,上海
32,CC508620126J00295839505,急：Python助理/初级,薪资面议,1-3年,大专,中软国际科技服务有限公司深圳分公司,上市公司,10000人以上,软件/互联网开发/系统集成,上海
33,CC508620126J00406318005,python开发,薪资面议,3-5年,本科,中软国际科技服务有限公司深圳分公司,上市公司,10000人以上,软件/互联网开发/系统集成,上海
34,CC508620126J00424047205,python,薪资面议,1-3年,本科,中软国际科技服务有限公司深圳分公司,上市公司,10000人以上,软件/互联网开发/系统集成,上海
35,CC214460312J00286744308,python开发经理（金融科技）,15K-20K,5-10年,本科,交银企业管理服务(上海)有限公司张江高科技园区分公司,其它,1000-9999人,软件/互联网开发/系统集成,上海
36,CC214460312J00277356408,python高级开发工程师（金融科技）,15K-20K,5-10年,本科,交银企业管理服务(上海)有限公司张江高科技园区分公司,其它,1000-9999人,软件/互联网开发/系统集成,上海
37,CC570037530J00070744602,资深python开发工程师,15K-25K,3-5年,大专,上海点晟信息科技有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
38,CC399612635J90354232000,Python工程师,6K-8K,不限,大专,上海集钢电子商务有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
39,CC413814238J90255430000,Python工程师,6K-8K,不限,大专,上海怡胜信息科技有限公司,民营,100-499人,软件/互联网开发/系统集成,上海
